6.41,4.7661
3.41,4.7637
6.41,4.8394
6.41,5.003
6.41,5.0176
6.41,5.0567
6.41,5.1544
6.41,5.3619
6.41,5.4254
6.41,5.5695
6.41,5.6818
3.41,5.7429
3.41,5.8039
3.41,5.9187
3.41,5.821
3.41,5.4474
3.41,5.0616
3.41,4.6293
3.41,4.2679
3.41,4.0115
3.41,3.8503
6.41,3.7112
3.41,3.5695
3.41,3.5182
6.41,3.6525
6.41,3.8186
6.41,3.8626
6.41,4.0115
6.41,4.3534
3.41,4.705
3.41,5.0836
3.41,5.3449
3.41,5.274
3.41,5.1275
3.41,4.7612
3.41,4.4511
3.41,4.2215
3.41,4.0457
3.41,3.8748
3.41,3.7307
3.41,3.6623
3.41,3.5768
3.41,3.5427
3.41,3.4792
3.41,3.4547
3.41,3.3595
3.41,3.2985
3.41,3.2252
3.41,3.2008
6.41,3.2252
6.41,3.2276
6.41,3.274
3.41,3.4572
3.41,3.8674
3.41,4.3217
3.41,4.4926
3.41,4.4315
3.41,4.2435
6.41,4.0506
3.41,3.8577
3.41,3.7307
3.41,3.7917
3.41,3.9212
3.41,3.9554
6.41,3.8479
6.41,3.7258
6.41,3.611
6.41,3.716
6.41,4.0921
6.41,4.4804
6.41,4.8149
6.41,5.0543
6.41,5.3033
6.41,5.4865
3.41,5.6721
3.41,5.7795
3.41,5.7991
3.41,5.6648
3.41,5.2911
3.41,4.8809
3.41,4.5585
3.41,4.1849
3.41,3.8894
6.41,3.7087
6.41,3.6232
6.41,3.5695
3.41,3.7185
3.41,4.0335
3.41,4.412
3.41,4.6293
6.41,4.5585
6.41,4.3949
6.41,4.18
6.41,4.1971
6.41,4.4315
6.41,4.7148
6.41,4.9615
3.41,5.3009
3.41,5.5671
3.41,5.6818
3.41,5.5451
3.41,5.1886
3.41,4.8833
3.41,4.6
3.41,4.2704
3.41,4.0384
3.41,3.8381
3.41,3.7112
3.41,3.5915
3.41,3.5353
3.41,3.4865
3.41,3.4767
3.41,3.4254
3.41,3.3815
3.41,3.3693
3.41,3.3644
3.41,3.3473
3.41,3.3815
6.41,3.4206
6.41,3.4132
6.41,3.4523
6.41,3.6355
6.41,4.0384
6.41,4.3754
6.41,4.727
3.41,5.0567
3.41,5.2985
3.41,5.5329
6.41,5.467
6.41,5.1959
6.41,4.8858
6.41,4.7637
6.41,4.876
6.41,5.042
6.41,5.2838
6.41,5.4914
6.41,5.5964
6.41,5.6721
6.41,5.7722
6.41,5.8308
6.41,5.9334
6.41,5.8992
6.41,5.9358
6.41,5.8943
6.41,5.9187
6.41,5.9944
6.41,5.9578
6.41,6.0311
6.41,6.0628
6.41,6.0408
3.41,6.097
6.41,6.1239
6.41,6.1629
6.41,6.0408
6.41,5.8455
6.41,5.7722
6.41,5.7991
6.41,5.9236
6.41,5.9285
3.41,6.0018
3.41,6.0018
6.41,6.0604
6.41,5.8821
6.41,5.5109
3.41,5.3229
3.41,5.3717
3.41,5.4547
3.41,5.4376
6.41,5.1593
6.41,4.9029
6.41,4.5878
6.41,4.5024
6.41,4.5952
6.41,4.8247
6.41,5.064
3.41,5.2716
3.41,5.467
3.41,5.6159
3.41,5.528
3.41,5.2545
3.41,4.8833
3.41,4.517
6.41,4.1971
3.41,4.0018
3.41,3.8064
3.41,3.9041
3.41,3.9236
6.41,3.8699
6.41,3.8064
6.41,3.7209
6.41,3.8186
6.41,4.1409
6.41,4.5292
6.41,4.8052
6.41,5.086
6.41,5.34
6.41,5.5329
6.41,5.5768
6.41,5.6672
6.41,5.7917
6.41,5.8503
3.41,5.9236
3.41,5.9212
3.41,5.9773
6.41,5.7405
6.41,5.3888
6.41,5.0005
6.41,4.8491
6.41,4.9444
6.41,5.1739
6.41,5.3693
6.41,5.4474
6.41,5.6037
6.41,5.7307
6.41,5.8503
3.41,5.9798
6.41,5.992
6.41,6.0848
3.41,5.9407
3.41,5.8039
3.41,5.7917
3.41,5.6037
6.41,5.2643
3.41,4.9468
3.41,4.6196
3.41,4.5146
3.41,4.434
6.41,4.285
6.41,4.1214
6.41,3.9456
6.41,3.9847
6.41,4.2191
6.41,4.5463
6.41,4.8735
6.41,5.1544
6.41,5.3888
6.41,5.6135
3.41,5.8357
3.41,5.8845
3.41,5.9554
3.41,5.7624
3.41,5.4596
3.41,5.0616
3.41,4.7075
3.41,4.4584
3.41,4.2679
6.41,4.053
6.41,3.9431
3.41,3.8259
3.41,3.9676
3.41,4.2801
3.41,4.4804
3.41,4.4926
3.41,4.39
3.41,4.1971
3.41,4.1116
6.41,3.9822
6.41,3.8674
6.41,3.7673
6.41,3.8723
3.41,4.2362
3.41,4.6635
3.41,4.9712
3.41,5.0665
3.41,4.9029
6.41,4.6757
6.41,4.3925
6.41,4.0994
6.41,4.1141
6.41,4.3265
6.41,4.644
6.41,4.9712
6.41,5.1593
6.41,5.3888
6.41,5.5768
6.41,5.6525
3.41,5.8039
6.41,5.9138
6.41,5.887
6.41,5.7991
6.41,5.7307
6.41,5.7624
6.41,5.8137
3.41,5.821
3.41,5.9285
3.41,6.014
3.41,5.7649
